Cell	Group	Amp	Shape	Rep	Spikes
32	8	3	2	3	1
32	8	3	3	3	2
32	8	3	4	3	1
32	8	1	1	4	0
32	8	1	2	4	0
32	8	1	3	4	0
32	8	1	4	4	0
32	8	2	1	4	1
32	8	2	2	4	2
32	8	2	3	4	2
32	8	2	4	4	3
32	8	3	1	4	1
32	8	3	2	4	2
32	8	3	3	4	2
32	8	3	4	4	2
32	8	1	1	5	0
32	8	1	2	5	0
32	8	1	3	5	1
32	8	1	4	5	0
32	8	2	1	5	1
32	8	2	2	5	1
32	8	2	3	5	1
32	8	2	4	5	2
32	8	3	1	5	1
32	8	3	2	5	1
32	8	3	3	5	3
32	8	3	4	5	2
33	8	1	1	1	0
33	8	1	2	1	0
33	8	1	3	1	0
33	8	1	4	1	0
33	8	2	1	1	0
33	8	2	2	1	1
33	8	2	3	1	1
33	8	2	4	1	1
33	8	3	1	1	1
33	8	3	2	1	1
33	8	3	3	1	1
33	8	3	4	1	1
33	8	1	1	2	0
33	8	1	2	2	0
33	8	1	3	2	0
33	8	1	4	2	0
33	8	2	1	2	0
33	8	2	2	2	1
33	8	2	3	2	1
33	8	2	4	2	1
33	8	3	1	2	1
33	8	3	2	2	1
33	8	3	3	2	1
33	8	3	4	2	1
33	8	1	1	3	0
33	8	1	2	3	0
33	8	1	3	3	0
33	8	1	4	3	0
33	8	2	1	3	1
33	8	2	2	3	1
33	8	2	3	3	1
33	8	2	4	3	1
33	8	3	1	3	1
33	8	3	2	3	2
33	8	3	3	3	1
33	8	3	4	3	1
33	8	1	1	4	0
33	8	1	2	4	0
33	8	1	3	4	1
33	8	1	4	4	0
33	8	2	1	4	1
33	8	2	2	4	1
33	8	2	3	4	1
33	8	2	4	4	1
33	8	3	1	4	1
33	8	3	2	4	1
33	8	3	3	4	1
33	8	3	4	4	1
33	8	1	1	5	0
33	8	1	2	5	0
33	8	1	3	5	0
33	8	1	4	5	0
33	8	2	1	5	1
33	8	2	2	5	1
33	8	2	3	5	1
33	8	2	4	5	1
33	8	3	1	5	1
33	8	3	2	5	1
33	8	3	3	5	1
33	8	3	4	5	1
34	8	1	1	1	0
34	8	1	2	1	0
34	8	1	3	1	0
34	8	1	4	1	1
34	8	2	1	1	1
34	8	2	2	1	1
34	8	2	3	1	2
34	8	2	4	1	1
34	8	3	1	1	1
34	8	3	2	1	1
34	8	3	3	1	2
34	8	3	4	1	1
34	8	1	1	2	0
34	8	1	2	2	0
